"Production Type","2020 [MW]"
"Biomass","N/A"
"Fossil Brown coal/Lignite","988"
"Fossil Coal-derived gas","N/A"
"Fossil Gas","N/A"
"Fossil Hard coal","887"
"Fossil Oil","N/A"
"Fossil Oil shale","N/A"
"Fossil Peat","N/A"
"Geothermal","N/A"
"Hydro Pumped Storage","440"
"Hydro Run-of-river and poundage","1083"
"Hydro Water Reservoir","707"
"Marine","N/A"
"Nuclear","N/A"
"Other","N/A"
"Other renewable","N/A"
"Solar","N/A"
"Waste","N/A"
"Wind Offshore","N/A"
"Wind Onshore","87"
"Total Grand capacity","4192"
