"Production Type","2020 [MW]"
"Biomass","0"
"Fossil Brown coal/Lignite","N/A"
"Fossil Coal-derived gas","N/A"
"Fossil Gas","N/A"
"Fossil Hard coal","N/A"
"Fossil Oil","N/A"
"Fossil Oil shale","N/A"
"Fossil Peat","N/A"
"Geothermal","N/A"
"Hydro Pumped Storage","N/A"
"Hydro Run-of-river and poundage","1492"
"Hydro Water Reservoir","N/A"
"Marine","N/A"
"Nuclear","N/A"
"Other","N/A"
"Other renewable","N/A"
"Solar","N/A"
"Waste","N/A"
"Wind Offshore","N/A"
"Wind Onshore","N/A"
"Total Grand capacity","1492"
