"Production Type","2020 [MW]"
"Biomass","647"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","6799"
"Fossil Hard coal","n/e"
"Fossil Oil","246"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1308"
"Hydro Run-of-river and poundage","175"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","5943"
"Other","19"
"Other renewable","n/e"
"Solar","3887"
"Waste","362"
"Wind Offshore","2254"
"Wind Onshore","2416"
"Total Grand capacity","24056"
