"Production Type","2020 [MW]"
"Biomass","74"
"Fossil Brown coal/Lignite","4119"
"Fossil Coal-derived gas","N/A"
"Fossil Gas","1232"
"Fossil Hard coal","356"
"Fossil Oil","N/A"
"Fossil Oil shale","N/A"
"Fossil Peat","N/A"
"Geothermal","N/A"
"Hydro Pumped Storage","864"
"Hydro Run-of-river and poundage","537"
"Hydro Water Reservoir","1810"
"Marine","N/A"
"Nuclear","2000"
"Other","N/A"
"Other renewable","N/A"
"Solar","1084"
"Waste","6"
"Wind Offshore","N/A"
"Wind Onshore","700"
"Total Grand capacity","12782"
