"Production Type","2020 [MW]"
"Biomass","91"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","743"
"Fossil Hard coal","332"
"Fossil Oil","937"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","10"
"Hydro Pumped Storage","281"
"Hydro Run-of-river and poundage","421"
"Hydro Water Reservoir","1444"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","50"
"Solar","53"
"Waste","6"
"Wind Offshore","n/e"
"Wind Onshore","739"
"Total Grand capacity","5107"
