"Production Type","2020 [MW]"
"Biomass","12"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","n/e"
"Fossil Hard coal","n/e"
"Fossil Oil","1478"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","n/e"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","n/e"
"Solar","205"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","158"
"Total Grand capacity","1853"
