"Production Type","2020 [MW]"
"Biomass","410"
"Fossil Brown coal/Lignite","8150"
"Fossil Coal-derived gas","380"
"Fossil Gas","1226"
"Fossil Hard coal","1200"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1172"
"Hydro Run-of-river and poundage","334"
"Hydro Water Reservoir","754"
"Marine","n/e"
"Nuclear","4040"
"Other","0"
"Other renewable","410"
"Solar","2061"
"Waste","100"
"Wind Offshore","n/e"
"Wind Onshore","339"
"Total Grand capacity","20576"
