"Production Type","2020 [MW]"
"Biomass","1872"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1739"
"Fossil Hard coal","3656"
"Fossil Oil","1009"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","7"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","137"
"Solar","1013"
"Waste","384"
"Wind Offshore","1700"
"Wind Onshore","4402"
"Total Grand capacity","15919"
