"Production Type","2020 [MW]"
"Biomass","1578"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","12238"
"Fossil Hard coal","2977"
"Fossil Oil","2874"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","4656"
"Hydro Run-of-river and poundage","9759"
"Hydro Water Reservoir","7188"
"Marine","246"
"Nuclear","63130"
"Other","1070"
"Other renewable","n/e"
"Solar","9438"
"Waste","n/e"
"Wind Offshore","14"
"Wind Onshore","16578"
"Total Grand capacity","131746"
