"Production Type","2020 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","912"
"Fossil Hard coal","13"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","1160"
"Hydro Water Reservoir","1992"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","n/e"
"Solar","n/e"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","20"
"Total Grand capacity","4097"
