"Production Type","2020 [MW]"
"Biomass","86"
"Fossil Brown coal/Lignite","3362"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","4902"
"Fossil Hard coal","n/e"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","0"
"Hydro Pumped Storage","699"
"Hydro Run-of-river and poundage","299"
"Hydro Water Reservoir","2403"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","105"
"Solar","2606"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","3153"
"Total Grand capacity","17615"
