"Production Type","2020 [MW]"
"Biomass","241"
"Fossil Brown coal/Lignite","1007"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","4030"
"Fossil Hard coal","42"
"Fossil Oil","420"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","3"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","30"
"Hydro Water Reservoir","28"
"Marine","n/e"
"Nuclear","1899"
"Other","N/A"
"Other renewable","74"
"Solar","1407"
"Waste","59"
"Wind Offshore","n/e"
"Wind Onshore","323"
"Total Grand capacity","9563"
