"Production Type","2020 [MW]"
"Biomass","N/A"
"Fossil Brown coal/Lignite","N/A"
"Fossil Coal-derived gas","N/A"
"Fossil Gas","4265"
"Fossil Hard coal","855"
"Fossil Oil","1272"
"Fossil Oil shale","N/A"
"Fossil Peat","344"
"Geothermal","17"
"Hydro Pumped Storage","292"
"Hydro Run-of-river and poundage","216"
"Hydro Water Reservoir","N/A"
"Marine","N/A"
"Nuclear","N/A"
"Other","647"
"Other renewable","N/A"
"Solar","N/A"
"Waste","N/A"
"Wind Offshore","N/A"
"Wind Onshore","1919"
"Total Grand capacity","9827"
