"Production Type","2020 [MW]"
"Biomass","1549"
"Fossil Brown coal/Lignite","0"
"Fossil Coal-derived gas","1764"
"Fossil Gas","42523"
"Fossil Hard coal","7617"
"Fossil Oil","1493"
"Fossil Oil shale","n/e"
"Fossil Peat","0"
"Geothermal","869"
"Hydro Pumped Storage","7276"
"Hydro Run-of-river and poundage","10441"
"Hydro Water Reservoir","4459"
"Marine","0"
"Nuclear","N/A"
"Other","1394"
"Other renewable","0"
"Solar","4874"
"Waste","125"
"Wind Offshore","0"
"Wind Onshore","10224"
"Total Grand capacity","94608"
