"Production Type","2020 [MW]"
"Biomass","145"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1026"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","1578"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","n/e"
"Solar","9"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","74"
"Total Grand capacity","2832"
