"Production Type","2020 [MW]"
"Biomass","98"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1770"
"Fossil Hard coal","n/e"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","900"
"Hydro Run-of-river and poundage","128"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","144"
"Other renewable","0"
"Solar","103"
"Waste","22"
"Wind Offshore","n/e"
"Wind Onshore","534"
"Total Grand capacity","3699"
