"Production Type","2020 [MW]"
"Biomass","880"
"Fossil Brown coal/Lignite","7677"
"Fossil Coal-derived gas","272"
"Fossil Gas","2540"
"Fossil Hard coal","22286"
"Fossil Oil","359"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1780"
"Hydro Run-of-river and poundage","448"
"Hydro Water Reservoir","157"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","n/e"
"Solar","1310"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","5953"
"Total Grand capacity","43662"
