"Production Type","2020 [MW]"
"Biomass","117"
"Fossil Brown coal/Lignite","3071"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","2666"
"Fossil Hard coal","1032"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","2750"
"Hydro Water Reservoir","3390"
"Marine","n/e"
"Nuclear","1300"
"Other","n/e"
"Other renewable","n/e"
"Solar","1163"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","2972"
"Total Grand capacity","18461"
