"Production Type","2020 [MW]"
"Biomass","8"
"Fossil Brown coal/Lignite","5283"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","286"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","639"
"Hydro Run-of-river and poundage","2005"
"Hydro Water Reservoir","472"
"Marine","n/e"
"Nuclear","n/e"
"Other","25"
"Other renewable","n/e"
"Solar","4"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","397"
"Total Grand capacity","9119"
