"Production Type","2020 [MW]"
"Biomass","N/A"
"Fossil Brown coal/Lignite","N/A"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","N/A"
"Fossil Hard coal","N/A"
"Fossil Oil","N/A"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","N/A"
"Hydro Run-of-river and poundage","N/A"
"Hydro Water Reservoir","N/A"
"Marine","n/e"
"Nuclear","N/A"
"Other","N/A"
"Other renewable","N/A"
"Solar","N/A"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","N/A"
"Total Grand capacity","N/A"
