"Production Type","2020 [MW]"
"Biomass","23"
"Fossil Brown coal/Lignite","967"
"Fossil Coal-derived gas","N/A"
"Fossil Gas","546"
"Fossil Hard coal","N/A"
"Fossil Oil","58"
"Fossil Oil shale","N/A"
"Fossil Peat","N/A"
"Geothermal","N/A"
"Hydro Pumped Storage","180"
"Hydro Run-of-river and poundage","1111"
"Hydro Water Reservoir","N/A"
"Marine","N/A"
"Nuclear","696"
"Other","N/A"
"Other renewable","N/A"
"Solar","278"
"Waste","38"
"Wind Offshore","N/A"
"Wind Onshore","3"
"Total Grand capacity","3900"
