"Production Type","2020 [MW]"
"Biomass","555"
"Fossil Brown coal/Lignite","0"
"Fossil Coal-derived gas","0"
"Fossil Gas","30012"
"Fossil Hard coal","9214"
"Fossil Oil","707"
"Fossil Oil shale","0"
"Fossil Peat","0"
"Geothermal","0"
"Hydro Pumped Storage","5645"
"Hydro Run-of-river and poundage","1155"
"Hydro Water Reservoir","19139"
"Marine","0"
"Nuclear","7117"
"Other","117"
"Other renewable","275"
"Solar","8466"
"Waste","543"
"Wind Offshore","0"
"Wind Onshore","24447"
"Total Grand capacity","107392"
