"Production Type","2020 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","n/e"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","n/e"
"Hydro Water Reservoir","16318"
"Marine","n/e"
"Nuclear","7710"
"Other","8827"
"Other renewable","n/e"
"Solar","n/e"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","9648"
"Total Grand capacity","42503"
