"Production Type","2020 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","N/A"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","6672"
"Hydro Run-of-river and poundage","635"
"Hydro Water Reservoir","5415"
"Marine","n/e"
"Nuclear","2970"
"Other","n/e"
"Other renewable","n/e"
"Solar","N/A"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","N/A"
"Total Grand capacity","15692"
