"Production Type","2020 [MW]"
"Biomass","4237"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","39823"
"Fossil Hard coal","7294"
"Fossil Oil","316"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","4052"
"Hydro Run-of-river and poundage","1882"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","8209"
"Other","4074"
"Other renewable","2249"
"Solar","13368"
"Waste","n/e"
"Wind Offshore","10365"
"Wind Onshore","13830"
"Total Grand capacity","109699"
