"Production Type","2020 [MW]"
"Biomass","1860"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1849"
"Fossil Hard coal","2163"
"Fossil Oil","1300"
"Fossil Oil shale","n/e"
"Fossil Peat","1135"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","3148"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","2794"
"Other","436"
"Other renewable","274"
"Solar","7"
"Waste","163"
"Wind Offshore","n/e"
"Wind Onshore","2145"
"Total Grand capacity","17274"
