"Production Type","2020 [MW]"
"Biomass","7987"
"Fossil Brown coal/Lignite","21067"
"Fossil Coal-derived gas","0"
"Fossil Gas","31712"
"Fossil Hard coal","22458"
"Fossil Oil","4373"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","47"
"Hydro Pumped Storage","9422"
"Hydro Run-of-river and poundage","3970"
"Hydro Water Reservoir","1298"
"Marine","n/e"
"Nuclear","8114"
"Other","1558"
"Other renewable","407"
"Solar","48206"
"Waste","1661"
"Wind Offshore","7504"
"Wind Onshore","53184"
"Total Grand capacity","222968"
