"Production Type","2020 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","642"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","1149"
"Hydro Water Reservoir","28185"
"Marine","n/e"
"Nuclear","n/e"
"Other","0"
"Other renewable","n/e"
"Solar","n/e"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","3068"
"Total Grand capacity","33044"
