"Week","Stored Energy Value 2018 [MWh]"
"Week 1","N/A"
"Week 2","N/A"
"Week 3","N/A"
"Week 4","N/A"
"Week 5","N/A"
"Week 6","N/A"
"Week 7","N/A"
"Week 8","N/A"
"Week 9","N/A"
"Week 10","N/A"
"Week 11","N/A"
"Week 12","N/A"
"Week 13","N/A"
"Week 14","N/A"
"Week 15","N/A"
"Week 16","N/A"
"Week 17","N/A"
"Week 18","N/A"
"Week 19","N/A"
"Week 20","N/A"
"Week 21","N/A"
"Week 22","N/A"
"Week 23","N/A"
"Week 24","N/A"
"Week 25","N/A"
"Week 26","N/A"
"Week 27","N/A"
"Week 28","N/A"
"Week 29","N/A"
"Week 30","N/A"
"Week 31","N/A"
"Week 32","N/A"
"Week 33","N/A"
"Week 34","N/A"
"Week 35","N/A"
"Week 36","N/A"
"Week 37","N/A"
"Week 38","N/A"
"Week 39","N/A"
"Week 40","N/A"
"Week 41","N/A"
"Week 42","N/A"
"Week 43","N/A"
"Week 44","N/A"
"Week 45","N/A"
"Week 46","N/A"
"Week 47","N/A"
"Week 48","N/A"
"Week 49","N/A"
"Week 50","N/A"
"Week 51","N/A"
"Week 52","N/A"
