"Week","Stored Energy Value 2018 [MWh]"
"Week 1","1671174"
"Week 2","1670134"
"Week 3","1658238"
"Week 4","1647562"
"Week 5","1660435"
"Week 6","1711730"
"Week 7","1743908"
"Week 8","1723507"
"Week 9","1705787"
"Week 10","1776188"
"Week 11","1839948"
"Week 12","1894297"
"Week 13","1944737"
"Week 14","1977371"
"Week 15","1994457"
"Week 16","2025704"
"Week 17","2037213"
"Week 18","2060876"
"Week 19","2100079"
"Week 20","2102751"
"Week 21","2111463"
"Week 22","2124588"
"Week 23","2130283"
"Week 24","2142384"
"Week 25","2140617"
"Week 26","2208620"
"Week 27","2211448"
"Week 28","2218419"
"Week 29","2191414"
"Week 30","2179659"
"Week 31","2187541"
"Week 32","2139430"
"Week 33","2093165"
"Week 34","2029106"
"Week 35","1969159"
"Week 36","1929205"
"Week 37","1876882"
"Week 38","1820850"
"Week 39","1769129"
"Week 40","1706155"
"Week 41","1667334"
"Week 42","1615113"
"Week 43","1587228"
"Week 44","1570870"
"Week 45","1544466"
"Week 46","1481489"
"Week 47","1408661"
"Week 48","1366234"
"Week 49","1305801"
"Week 50","1244155"
"Week 51","1191162"
"Week 52","1162859"
