"Week","Stored Energy Value 2018 [MWh]"
"Week 1","793980"
"Week 2","837010"
"Week 3","868160"
"Week 4","868450"
"Week 5","889900"
"Week 6","977510"
"Week 7","965580"
"Week 8","955250"
"Week 9","935440"
"Week 10","1121590"
"Week 11","1217100"
"Week 12","1282820"
"Week 13","1329170"
"Week 14","1375260"
"Week 15","1404080"
"Week 16","1392220"
"Week 17","1345780"
"Week 18","1313610"
"Week 19","1277680"
"Week 20","1248790"
"Week 21","1224780"
"Week 22","1204590"
"Week 23","1170530"
"Week 24","1139120"
"Week 25","1099020"
"Week 26","1060290"
"Week 27","1012030"
"Week 28","961390"
"Week 29","915650"
"Week 30","869450"
"Week 31","810550"
"Week 32","756850"
"Week 33","706790"
"Week 34","650790"
"Week 35","612720"
"Week 36","581860"
"Week 37","540190"
"Week 38","494000"
"Week 39","461860"
"Week 40","429600"
"Week 41","399140"
"Week 42","383260"
"Week 43","348090"
"Week 44","404910"
"Week 45","391720"
"Week 46","378790"
"Week 47","377580"
"Week 48","454200"
"Week 49","440320"
"Week 50","437780"
"Week 51","423120"
"Week 52","455400"
