"Week","Stored Energy Value 2018 [MWh]"
"Week 1","4008000"
"Week 2","3903000"
"Week 3","3772000"
"Week 4","3660000"
"Week 5","3501000"
"Week 6","3322000"
"Week 7","3143000"
"Week 8","2946000"
"Week 9","2735000"
"Week 10","2551000"
"Week 11","2382000"
"Week 12","2207000"
"Week 13","2020000"
"Week 14","1908000"
"Week 15","1807000"
"Week 16","1843000"
"Week 17","1979000"
"Week 18","2421000"
"Week 19","3243000"
"Week 20","3827000"
"Week 21","3929000"
"Week 22","3905000"
"Week 23","3875000"
"Week 24","3843000"
"Week 25","3874000"
"Week 26","3875000"
"Week 27","3860000"
"Week 28","3794000"
"Week 29","3706000"
"Week 30","3638000"
"Week 31","3563000"
"Week 32","3481000"
"Week 33","3427000"
"Week 34","3386000"
"Week 35","3340000"
"Week 36","3264000"
"Week 37","3281000"
"Week 38","3293000"
"Week 39","3295000"
"Week 40","3254000"
"Week 41","3263000"
"Week 42","3267000"
"Week 43","3268000"
"Week 44","3239000"
"Week 45","3250000"
"Week 46","3276000"
"Week 47","3182000"
"Week 48","3131000"
"Week 49","3100000"
"Week 50","3000000"
"Week 51","2880000"
"Week 52","2774000"
