"Week","Stored Energy Value 2018 [MWh]"
"Week 1","1577489"
"Week 2","1719409"
"Week 3","1660658"
"Week 4","1704964"
"Week 5","1639471"
"Week 6","1416974"
"Week 7","1194343"
"Week 8","1101070"
"Week 9","812004"
"Week 10","665128"
"Week 11","703526"
"Week 12","643391"
"Week 13","586044"
"Week 14","597380"
"Week 15","616931"
"Week 16","642271"
"Week 17","811033"
"Week 18","1002365"
"Week 19","1101932"
"Week 20","1327826"
"Week 21","1497111"
"Week 22","1791003"
"Week 23","2062657"
"Week 24","2343672"
"Week 25","2562038"
"Week 26","2685251"
"Week 27","2829080"
"Week 28","2807415"
"Week 29","2788177"
"Week 30","2800440"
"Week 31","2817640"
"Week 32","2837239"
"Week 33","2869444"
"Week 34","2837907"
"Week 35","2778684"
"Week 36","2718547"
"Week 37","2678886"
"Week 38","2632172"
"Week 39","2588940"
"Week 40","2533385"
"Week 41","2476781"
"Week 42","2504641"
"Week 43","2474033"
"Week 44","2418967"
"Week 45","2457273"
"Week 46","2472229"
"Week 47","2331922"
"Week 48","2227100"
"Week 49","2232914"
"Week 50","2230364"
"Week 51","2085932"
"Week 52","2164121"
