"Week","Stored Energy Value 2018 [MWh]"
"Week 1","1790956"
"Week 2","1822781"
"Week 3","1904086"
"Week 4","1996727"
"Week 5","2046091"
"Week 6","2293840"
"Week 7","2444699"
"Week 8","2549809"
"Week 9","2699499"
"Week 10","2919706"
"Week 11","2961589"
"Week 12","3008900"
"Week 13","3060004"
"Week 14","3043253"
"Week 15","3027163"
"Week 16","3032033"
"Week 17","3028016"
"Week 18","3029507"
"Week 19","3038874"
"Week 20","3033317"
"Week 21","3032193"
"Week 22","3014314"
"Week 23","2954506"
"Week 24","2896343"
"Week 25","2860097"
"Week 26","2846676"
"Week 27","2822357"
"Week 28","2778884"
"Week 29","2702659"
"Week 30","2615681"
"Week 31","2539271"
"Week 32","2473324"
"Week 33","2397317"
"Week 34","2293956"
"Week 35","2219989"
"Week 36","2125870"
"Week 37","2045654"
"Week 38","1975321"
"Week 39","1917447"
"Week 40","1873330"
"Week 41","1831636"
"Week 42","1782606"
"Week 43","1734119"
"Week 44","1699406"
"Week 45","1662379"
"Week 46","1617200"
"Week 47","1607640"
"Week 48","1672441"
"Week 49","1659694"
"Week 50","1641596"
"Week 51","1653049"
"Week 52","1667001"
