Week,Stored Energy Value 2018 [MWh]
Week 1,2447739
Week 2,2425274
Week 3,2378079
Week 4,2288319
Week 5,2170055
Week 6,2056127
Week 7,1977845
Week 8,1901129
Week 9,1787517
Week 10,1726572
Week 11,1735227
Week 12,1719541
Week 13,1716618
Week 14,1662597
Week 15,1648542
Week 16,1718490
Week 17,1868486
Week 18,2030482
Week 19,2266162
Week 20,2420973
Week 21,2551140
Week 22,2856999
Week 23,3140531
Week 24,3378649
Week 25,3555124
Week 26,3635134
Week 27,3657605
Week 28,3707944
Week 29,3714008
Week 30,3700000
Week 31,3606958
Week 32,3594076
Week 33,3553730
Week 34,3536409
Week 35,3518893
Week 36,3484067
Week 37,3404598
Week 38,3343884
Week 39,3268592
Week 40,3177254
Week 41,3129550
Week 42,3062097
Week 43,3062349
Week 44,3255360
Week 45,3358423
Week 46,3378474
Week 47,3273020
Week 48,3155129
Week 49,3086070
Week 50,2959353
Week 51,2869361
Week 52,2812322
