"Week","Stored Energy Value 2018 [MWh]"
"Week 1","5673"
"Week 2","6672"
"Week 3","7864"
"Week 4","6395"
"Week 5","7324"
"Week 6","7561"
"Week 7","8290"
"Week 8","8184"
"Week 9","7651"
"Week 10","7862"
"Week 11","8091"
"Week 12","5316"
"Week 13","7664"
"Week 14","6924"
"Week 15","4091"
"Week 16","5769"
"Week 17","3071"
"Week 18","3045"
"Week 19","2544"
"Week 20","2224"
"Week 21","2190"
"Week 22","2220"
"Week 23","2195"
"Week 24","6657"
"Week 25","8212"
"Week 26","8335"
"Week 27","8785"
"Week 28","8486"
"Week 29","8064"
"Week 30","8253"
"Week 31","7727"
"Week 32","7710"
"Week 33","9058"
"Week 34","9483"
"Week 35","7990"
"Week 36","8075"
"Week 37","7240"
"Week 38","6970"
"Week 39","6598"
"Week 40","6064"
"Week 41","9332"
"Week 42","8359"
"Week 43","8773"
"Week 44","9574"
"Week 45","9018"
"Week 46","8655"
"Week 47","9139"
"Week 48","8197"
"Week 49","8854"
"Week 50","9062"
"Week 51","6492"
"Week 52","7304"
