"Week","Stored Energy Value 2018 [MWh]"
"Week 1","11820"
"Week 2","9250"
"Week 3","6321"
"Week 4","8456"
"Week 5","11009"
"Week 6","9169"
"Week 7","9665"
"Week 8","8766"
"Week 9","9191"
"Week 10","10215"
"Week 11","8965"
"Week 12","10441"
"Week 13","8015"
"Week 14","8819"
"Week 15","11372"
"Week 16","10269"
"Week 17","8529"
"Week 18","9463"
"Week 19","10395"
"Week 20","8657"
"Week 21","8487"
"Week 22","7999"
"Week 23","8988"
"Week 24","9025"
"Week 25","9950"
"Week 26","8042"
"Week 27","8143"
"Week 28","7975"
"Week 29","9204"
"Week 30","9003"
"Week 31","7712"
"Week 32","9063"
"Week 33","10721"
"Week 34","9292"
"Week 35","8263"
"Week 36","8495"
"Week 37","7019"
"Week 38","8442"
"Week 39","7758"
"Week 40","7540"
"Week 41","8633"
"Week 42","8936"
"Week 43","8080"
"Week 44","11328"
"Week 45","8985"
"Week 46","9762"
"Week 47","9622"
"Week 48","10446"
"Week 49","9320"
"Week 50","9524"
"Week 51","7388"
"Week 52","10736"
