"Week","Stored Energy Value 2018 [MWh]"
"Week 1","n/e"
"Week 2","n/e"
"Week 3","n/e"
"Week 4","n/e"
"Week 5","n/e"
"Week 6","n/e"
"Week 7","n/e"
"Week 8","n/e"
"Week 9","n/e"
"Week 10","n/e"
"Week 11","n/e"
"Week 12","n/e"
"Week 13","n/e"
"Week 14","n/e"
"Week 15","n/e"
"Week 16","n/e"
"Week 17","n/e"
"Week 18","n/e"
"Week 19","n/e"
"Week 20","n/e"
"Week 21","n/e"
"Week 22","n/e"
"Week 23","n/e"
"Week 24","n/e"
"Week 25","n/e"
"Week 26","n/e"
"Week 27","n/e"
"Week 28","n/e"
"Week 29","n/e"
"Week 30","n/e"
"Week 31","n/e"
"Week 32","n/e"
"Week 33","n/e"
"Week 34","n/e"
"Week 35","n/e"
"Week 36","n/e"
"Week 37","n/e"
"Week 38","n/e"
"Week 39","n/e"
"Week 40","n/e"
"Week 41","n/e"
"Week 42","n/e"
"Week 43","n/e"
"Week 44","n/e"
"Week 45","n/e"
"Week 46","n/e"
"Week 47","n/e"
"Week 48","n/e"
"Week 49","n/e"
"Week 50","n/e"
"Week 51","n/e"
"Week 52","n/e"
