"Week","Stored Energy Value 2018 [MWh]"
"Week 1","418356"
"Week 2","411673"
"Week 3","395183"
"Week 4","366549"
"Week 5","375625"
"Week 6","399949"
"Week 7","376707"
"Week 8","342482"
"Week 9","308430"
"Week 10","344780"
"Week 11","384110"
"Week 12","417930"
"Week 13","416443"
"Week 14","432111"
"Week 15","434576"
"Week 16","432930"
"Week 17","421042"
"Week 18","423271"
"Week 19","419986"
"Week 20","420188"
"Week 21","417796"
"Week 22","413094"
"Week 23","413915"
"Week 24","413789"
"Week 25","407332"
"Week 26","406917"
"Week 27","402179"
"Week 28","389867"
"Week 29","373895"
"Week 30","352804"
"Week 31","329678"
"Week 32","308921"
"Week 33","294196"
"Week 34","270209"
"Week 35","246866"
"Week 36","227581"
"Week 37","215252"
"Week 38","198888"
"Week 39","191944"
"Week 40","177751"
"Week 41","164038"
"Week 42","149882"
"Week 43","143140"
"Week 44","195200"
"Week 45","198820"
"Week 46","195410"
"Week 47","239703"
"Week 48","300080"
"Week 49","283920"
"Week 50","279330"
"Week 51","279990"
"Week 52","280140"
