
Week,Stored Energy Value 2018 [MWh]
Week 1,37168000
Week 2,35498000
Week 3,33866000
Week 4,32505000
Week 5,30982000
Week 6,29153000
Week 7,27398000
Week 8,25320000
Week 9,23246000
Week 10,21321000
Week 11,19600000
Week 12,17990000
Week 13,16444000
Week 14,15152000
Week 15,14114000
Week 16,14611000
Week 17,15330000
Week 18,15701000
Week 19,20354000
Week 20,23682000
Week 21,25962000
Week 22,28746000
Week 23,29957000
Week 24,31429000
Week 25,32225000
Week 26,32172000
Week 27,31870000
Week 28,31405000
Week 29,30994000
Week 30,30618000
Week 31,31034000
Week 32,31866000
Week 33,32956000
Week 34,33301000
Week 35,33025000
Week 36,33204000
Week 37,36001000
Week 38,38428000
Week 39,39852000
Week 40,40031000
Week 41,41599000
Week 42,42057000
Week 43,42210000
Week 44,41319000
Week 45,40943000
Week 46,41124000
Week 47,39676000
Week 48,38515000
Week 49,37452000
Week 50,35802000
Week 51,35183000
Week 52,34207000
