"Week","Stored Energy Value 2018 [MWh]"
"Week 1","1451843"
"Week 2","1485386"
"Week 3","1540214"
"Week 4","1551814"
"Week 5","1566043"
"Week 6","1547900"
"Week 7","1583429"
"Week 8","1594371"
"Week 9","1597257"
"Week 10","1836114"
"Week 11","2250171"
"Week 12","2426986"
"Week 13","2471329"
"Week 14","2547257"
"Week 15","2609686"
"Week 16","2658886"
"Week 17","2673271"
"Week 18","2669543"
"Week 19","2661200"
"Week 20","2668614"
"Week 21","2637900"
"Week 22","2625314"
"Week 23","2614743"
"Week 24","2637429"
"Week 25","2592757"
"Week 26","2534243"
"Week 27","2501543"
"Week 28","2401729"
"Week 29","2317171"
"Week 30","2241043"
"Week 31","2178700"
"Week 32","2124186"
"Week 33","2096800"
"Week 34","2026614"
"Week 35","1935614"
"Week 36","1853000"
"Week 37","1784100"
"Week 38","1708971"
"Week 39","1621657"
"Week 40","1557000"
"Week 41","1527771"
"Week 42","1503986"
"Week 43","1461729"
"Week 44","1424714"
"Week 45","1467957"
"Week 46","1548500"
"Week 47","1511271"
"Week 48","1590057"
"Week 49","1587443"
"Week 50","1531314"
"Week 51","1569714"
"Week 52","1555900"
