"Week","Stored Energy Value 2018 [MWh]"
"Week 1","1639700"
"Week 2","1646800"
"Week 3","1624100"
"Week 4","1609200"
"Week 5","1614500"
"Week 6","1611100"
"Week 7","1613700"
"Week 8","1593100"
"Week 9","1478700"
"Week 10","1471300"
"Week 11","1604600"
"Week 12","1595200"
"Week 13","1602100"
"Week 14","1754500"
"Week 15","2023200"
"Week 16","2237400"
"Week 17","2356400"
"Week 18","2409700"
"Week 19","2409900"
"Week 20","2419900"
"Week 21","2419800"
"Week 22","2363700"
"Week 23","2344400"
"Week 24","2407100"
"Week 25","2530000"
"Week 26","2721000"
"Week 27","2803400"
"Week 28","2828100"
"Week 29","2827700"
"Week 30","2832900"
"Week 31","2839600"
"Week 32","2815800"
"Week 33","2774000"
"Week 34","2699500"
"Week 35","2645400"
"Week 36","2589700"
"Week 37","2520900"
"Week 38","2436600"
"Week 39","2348500"
"Week 40","2258500"
"Week 41","2185900"
"Week 42","2082300"
"Week 43","2019200"
"Week 44","1965700"
"Week 45","1904000"
"Week 46","1811400"
"Week 47","1728600"
"Week 48","1698200"
"Week 49","1651400"
"Week 50","1598400"
"Week 51","1540200"
"Week 52","1517400"
