"Week","Stored Energy Value 2018 [MWh]"
"Week 1","477000"
"Week 2","480000"
"Week 3","480000"
"Week 4","463000"
"Week 5","438000"
"Week 6","457000"
"Week 7","454000"
"Week 8","419000"
"Week 9","385000"
"Week 10","366000"
"Week 11","404000"
"Week 12","451000"
"Week 13","464000"
"Week 14","481000"
"Week 15","506000"
"Week 16","507000"
"Week 17","507000"
"Week 18","518000"
"Week 19","512000"
"Week 20","519000"
"Week 21","500000"
"Week 22","492000"
"Week 23","496000"
"Week 24","495000"
"Week 25","505000"
"Week 26","521000"
"Week 27","540000"
"Week 28","540000"
"Week 29","529000"
"Week 30","521000"
"Week 31","502000"
"Week 32","479000"
"Week 33","443000"
"Week 34","413000"
"Week 35","405000"
"Week 36","388000"
"Week 37","376000"
"Week 38","370000"
"Week 39","363000"
"Week 40","359000"
"Week 41","366000"
"Week 42","374000"
"Week 43","367000"
"Week 44","376000"
"Week 45","383000"
"Week 46","380000"
"Week 47","368000"
"Week 48","375000"
"Week 49","371000"
"Week 50","368000"
"Week 51","355000"
"Week 52","356000"
