"Week","Stored Energy Value 2018 [MWh]"
"Week 1","2600"
"Week 2","0"
"Week 3","2600"
"Week 4","2600"
"Week 5","2600"
"Week 6","0"
"Week 7","0"
"Week 8","0"
"Week 9","0"
"Week 10","2600"
"Week 11","2600"
"Week 12","2600"
"Week 13","2600"
"Week 14","2600"
"Week 15","2600"
"Week 16","2600"
"Week 17","2600"
"Week 18","2600"
"Week 19","2600"
"Week 20","2600"
"Week 21","2600"
"Week 22","2600"
"Week 23","2600"
"Week 24","2600"
"Week 25","2600"
"Week 26","2600"
"Week 27","2600"
"Week 28","2600"
"Week 29","2600"
"Week 30","2600"
"Week 31","2600"
"Week 32","2600"
"Week 33","2600"
"Week 34","2600"
"Week 35","2600"
"Week 36","2600"
"Week 37","2600"
"Week 38","2600"
"Week 39","2600"
"Week 40","2600"
"Week 41","2600"
"Week 42","2600"
"Week 43","2600"
"Week 44","2600"
"Week 45","0"
"Week 46","0"
"Week 47","0"
"Week 48","0"
"Week 49","0"
"Week 50","0"
"Week 51","0"
"Week 52","0"
