"Week","Stored Energy Value 2018 [MWh]"
"Week 1","5104802"
"Week 2","5284528"
"Week 3","5330221"
"Week 4","5403403"
"Week 5","5411688"
"Week 6","5358573"
"Week 7","5458728"
"Week 8","5669946"
"Week 9","5770462"
"Week 10","6658816"
"Week 11","8217673"
"Week 12","9172003"
"Week 13","9560482"
"Week 14","10090503"
"Week 15","10768647"
"Week 16","11454574"
"Week 17","11748211"
"Week 18","11937485"
"Week 19","11941137"
"Week 20","12009342"
"Week 21","11943098"
"Week 22","12098391"
"Week 23","12247101"
"Week 24","12408446"
"Week 25","12240822"
"Week 26","11943759"
"Week 27","11719596"
"Week 28","11467992"
"Week 29","10732749"
"Week 30","10458582"
"Week 31","10315467"
"Week 32","10042983"
"Week 33","9871317"
"Week 34","9628642"
"Week 35","9346210"
"Week 36","9110095"
"Week 37","8868061"
"Week 38","8602508"
"Week 39","8374465"
"Week 40","8040905"
"Week 41","7843930"
"Week 42","7777168"
"Week 43","7728196"
"Week 44","7630760"
"Week 45","7685544"
"Week 46","7848784"
"Week 47","7927348"
"Week 48","7992028"
"Week 49","8084888"
"Week 50","8104824"
"Week 51","8153074"
"Week 52","8192252"
