"Week","Stored Energy Value 2018 [MWh]"
"Week 1","3206256"
"Week 2","3240105"
"Week 3","3068744"
"Week 4","2883280"
"Week 5","2618412"
"Week 6","2418353"
"Week 7","2119835"
"Week 8","1874184"
"Week 9","1375848"
"Week 10","1007114"
"Week 11","862804"
"Week 12","762772"
"Week 13","699722"
"Week 14","631295"
"Week 15","648946"
"Week 16","635442"
"Week 17","813376"
"Week 18","900624"
"Week 19","1146012"
"Week 20","1362524"
"Week 21","1547200"
"Week 22","1738222"
"Week 23","2204043"
"Week 24","2738169"
"Week 25","3187768"
"Week 26","3533260"
"Week 27","3765720"
"Week 28","4103688"
"Week 29","4393607"
"Week 30","4526576"
"Week 31","4595338"
"Week 32","4978538"
"Week 33","5244926"
"Week 34","5386749"
"Week 35","5770427"
"Week 36","5858997"
"Week 37","5946736"
"Week 38","6005673"
"Week 39","5742022"
"Week 40","6053548"
"Week 41","4728144"
"Week 42","5980659"
"Week 43","5433047"
"Week 44","5795656"
"Week 45","5814382"
"Week 46","5838043"
"Week 47","5630359"
"Week 48","5371411"
"Week 49","5301983"
"Week 50","5125757"
"Week 51","4800968"
"Week 52","4760256"
