node,g1,g2,g3,g4,g5,g6,g7,g8,Hydro,HydroRoR,Min_Hyd_Level,Max_Hyd_Level,q1,q2,q3,q4,q5,q6,q7,q8
1,0,0,1000,0,0,0,0,0,0,3149,202125,768075,107451.5166,71336.71626,70432.81103,1000000000,1000000000,1000000000,1000000000,1000000000
2,0,0,0,0,0,0,0,0,26819,1328,7578508,28798331,111770.01,18661.26062,602736.2891,1000000000,1000000000,1000000000,1000000000,1000000000
3,0,0,0,0,0,0,2000,0,15949,0,4045250,15371950,205047.0279,81585.62671,339720.9632,1000000000,1000000000,1000000000,1000000000,1000000000
4,0,0,0,0,0,0,0,0,0,6,0,0,13063.63807,74664.3065,112153.6316,1000000000,0,1000000000,1000000000,1000000000
5,0,0,0,0,0,0,0,0,8578,11222,1045750,3973850,180007.512,41965.61286,1531997.841,1000000000,1000000000,1000000000,1000000000,1000000000
6,0,0,0,0,0,0,0,0,1451,4102,343325,1304635,108979.8328,52755.02751,964134.3589,1000000000,1000000000,1000000000,1000000000,1000000000
7,0,0,0,0,0,0,0,0,0,216,783750,2978250,93141.54464,140304.4684,853145.3098,1000000000,1000000000,1000000000,1000000000,1000000000
8,0,0,0,0,0,0,0,0,13941,16659,4627750,17585450,236868.2452,60968.01032,1744058.703,1000000000,1000000000,1000000000,1000000000,1000000000
9,0,0,0,0,0,0,0,0,157,2130,138000,524400,182528.8613,70089.53133,1259122.735,1000000000,0,1000000000,1000000000,1000000000
10,0,0,0,0,0,0,0,0,20640,3990,4280750,16266850,183545.5361,26022.0901,1380380.539,1000000000,1000000000,1000000000,1000000000,1000000000
11,0,0,0,0,0,0,0,0,13392,10391,5369750,20405050,192057.8407,8706.819046,1481305.183,1000000000,1000000000,1000000000,1000000000,1000000000
