node,g1,g2,g3,g4,g5,g6,g7,g8,Hydro,HydroRoR,Min_Hyd_Level,Max_Hyd_Level,q1,q2,q3,q4,q5,q6,q7,q8
1,0,0,0,0,0,0,0,0,0,3149,202125,768075,107451.516572053,71336.7162575641,70432.8110307941,1000000000,1000000000,1000000000,1000000000,1000000000
2,0,0,0,0,0,0,0,0,26819,1328,7578508,28798331,111770.009990409,18661.2606246769,602736.289080037,1000000000,1000000000,1000000000,1000000000,1000000000
3,0,0,0,0,0,0,0,0,15949,0,4045250,15371950,205047.027870485,81585.6267107733,339720.963237549,1000000000,1000000000,1000000000,1000000000,1000000000
4,0,0,0,0,0,0,0,0,0,6,0,0,13063.6380699070,74664.3064961865,112153.631609334,1000000000,0,1000000000,1000000000,1000000000
5,0,0,0,0,0,0,0,0,8578,11222,1045750,3973850,180007.512037663,41965.6128568328,1531997.84098222,1000000000,1000000000,1000000000,1000000000,1000000000
6,0,0,0,0,0,0,0,0,1451,4102,343325,1304635,108979.832772545,52755.0275133652,964134.358858269,1000000000,1000000000,1000000000,1000000000,1000000000
7,0,0,0,0,0,0,0,0,0,216,783750,2978250,93141.5446447955,140304.468417008,853145.309832536,1000000000,1000000000,1000000000,1000000000,1000000000
8,0,0,0,0,0,0,0,0,13941,16659,4627750,17585450,236868.245206868,60968.0103217684,1744058.70271066,1000000000,1000000000,1000000000,1000000000,1000000000
9,0,0,0,0,0,0,0,0,157,2130,138000,524400,182528.861302358,70089.5313278048,1259122.73466138,1000000000,0,1000000000,1000000000,1000000000
10,0,0,0,0,0,0,0,0,20640,3990,4280750,16266850,183545.536138326,26022.0901019474,1380380.53882214,1000000000,1000000000,1000000000,1000000000,1000000000
11,0,0,0,0,0,0,0,0,13392,10391,5369750,20405050,192057.840718854,8706.81904591837,1481305.18291275,1000000000,1000000000,1000000000,1000000000,1000000000
