Time,Year,Month,Day,Hour,Weekday,Week,Load,Load_mod,Solar,Wind-Off,Wind-On,WindTot,Avail_Off,Avail_On,Avail_Win,Avail_Sol,Order,Max_Load,Dem_Inc
01.01.2018 00:00 - 01.01.2018 01:00,2018,1,1,1,2,1,22779,0.56,9,0,12348,12348,0,0.769,0.769,0.002,1,40693,1.07
01.01.2018 01:00 - 01.01.2018 02:00,2018,1,1,2,2,1,22009,0.541,9,0,11156,11156,0,0.695,0.695,0.002,2,,
01.01.2018 02:00 - 01.01.2018 03:00,2018,1,1,3,2,1,20589,0.506,9,0,9437,9437,0,0.587,0.587,0.002,3,,
01.01.2018 03:00 - 01.01.2018 04:00,2018,1,1,4,2,1,19547,0.48,9,0,6474,6474,0,0.403,0.403,0.002,4,,
01.01.2018 04:00 - 01.01.2018 05:00,2018,1,1,5,2,1,18871,0.464,9,0,6329,6329,0,0.394,0.394,0.002,5,,
01.01.2018 05:00 - 01.01.2018 06:00,2018,1,1,6,2,1,18688,0.459,9,0,6172,6172,0,0.384,0.384,0.002,6,,
01.01.2018 06:00 - 01.01.2018 07:00,2018,1,1,7,2,1,18869,0.464,9,0,6189,6189,0,0.385,0.385,0.002,7,,
01.01.2018 07:00 - 01.01.2018 08:00,2018,1,1,8,2,1,19263,0.473,9,0,5782,5782,0,0.36,0.36,0.002,8,,
01.01.2018 08:00 - 01.01.2018 09:00,2018,1,1,9,2,1,19046,0.468,34,0,5963,5963,0,0.371,0.371,0.006,9,,
01.01.2018 09:00 - 01.01.2018 10:00,2018,1,1,10,2,1,19563,0.481,601,0,5770,5770,0,0.359,0.359,0.104,10,,
01.01.2018 10:00 - 01.01.2018 11:00,2018,1,1,11,2,1,21063,0.518,1635,0,6448,6448,0,0.401,0.401,0.282,11,,
01.01.2018 11:00 - 01.01.2018 12:00,2018,1,1,12,2,1,22448,0.552,2479,0,7056,7056,0,0.439,0.439,0.428,12,,
01.01.2018 12:00 - 01.01.2018 13:00,2018,1,1,13,2,1,23033,0.566,2942,0,8335,8335,0,0.519,0.519,0.508,13,,
01.01.2018 13:00 - 01.01.2018 14:00,2018,1,1,14,2,1,23680,0.582,2898,0,9002,9002,0,0.56,0.56,0.5,14,,
01.01.2018 14:00 - 01.01.2018 15:00,2018,1,1,15,2,1,23918,0.588,2778,0,11860,11860,0,0.738,0.738,0.48,15,,
01.01.2018 15:00 - 01.01.2018 16:00,2018,1,1,16,2,1,22626,0.556,2554,0,12244,12244,0,0.762,0.762,0.441,16,,
01.01.2018 16:00 - 01.01.2018 17:00,2018,1,1,17,2,1,22130,0.544,1876,0,12635,12635,0,0.787,0.787,0.324,17,,
01.01.2018 17:00 - 01.01.2018 18:00,2018,1,1,18,2,1,22607,0.556,781,0,13564,13564,0,0.844,0.844,0.135,18,,
01.01.2018 18:00 - 01.01.2018 19:00,2018,1,1,19,2,1,25198,0.619,177,0,14629,14629,0,0.911,0.911,0.031,19,,
01.01.2018 19:00 - 01.01.2018 20:00,2018,1,1,20,2,1,26477,0.651,119,0,14358,14358,0,0.894,0.894,0.021,20,,
01.01.2018 20:00 - 01.01.2018 21:00,2018,1,1,21,2,1,27326,0.672,115,0,14342,14342,0,0.893,0.893,0.02,21,,
01.01.2018 21:00 - 01.01.2018 22:00,2018,1,1,22,2,1,27534,0.677,91,0,14041,14041,0,0.874,0.874,0.016,22,,
01.01.2018 22:00 - 01.01.2018 23:00,2018,1,1,23,2,1,26946,0.662,60,0,14166,14166,0,0.882,0.882,0.01,23,,
01.01.2018 23:00 - 02.01.2018 00:00,2018,1,1,24,2,1,24878,0.611,50,0,13271,13271,0,0.826,0.826,0.009,24,,
02.01.2018 00:00 - 02.01.2018 01:00,2018,1,2,1,3,1,22657,0.557,16,0,12151,12151,0,0.756,0.756,0.003,25,,
02.01.2018 01:00 - 02.01.2018 02:00,2018,1,2,2,3,1,20818,0.512,11,0,11786,11786,0,0.734,0.734,0.002,26,,
02.01.2018 02:00 - 02.01.2018 03:00,2018,1,2,3,3,1,19741,0.485,11,0,11220,11220,0,0.698,0.698,0.002,27,,
