Time,Year,Month,Day,Hour,Weekday,Week,Load,Load_mod,Solar,Wind-Off,Wind-On,WindTot,Avail_Off,Avail_On,Avail_Win,Avail_Sol,Order,Max_Load,Dem_Inc
01.01.2018 00:00 - 01.01.2018 01:00,2018,1,1,1,2,1,43803,0.56,0,,,31578,,,0.707569154,0,1,78326.75,1.112085521
01.01.2018 01:00 - 01.01.2018 02:00,2018,1,1,2,2,1,43342,0.55,0,,,33105,,,0.741784958,0,2,,
01.01.2018 02:00 - 01.01.2018 03:00,2018,1,1,3,2,1,42531,0.54,0,,,33869,,,0.758904064,0,3,,
01.01.2018 03:00 - 01.01.2018 04:00,2018,1,1,4,2,1,41524,0.53,0,,,34778,,,0.779283418,0,4,,
01.01.2018 04:00 - 01.01.2018 05:00,2018,1,1,5,2,1,41555,0.53,0,,,34741,,,0.778448749,0,5,,
01.01.2018 05:00 - 01.01.2018 06:00,2018,1,1,6,2,1,41743,0.53,0,,,35345,,,0.791971498,0,6,,
01.01.2018 06:00 - 01.01.2018 07:00,2018,1,1,7,2,1,40955,0.52,0,,,34738,,,0.778387129,0,7,,
01.01.2018 07:00 - 01.01.2018 08:00,2018,1,1,8,2,1,41258,0.53,0,,,34200,,,0.766320849,0,8,,
01.01.2018 08:00 - 01.01.2018 09:00,2018,1,1,9,2,1,42078,0.54,174,,,33596,,,0.752786896,0.005992108,9,,
01.01.2018 09:00 - 01.01.2018 10:00,2018,1,1,10,2,1,44525,0.57,1565,,,34089,,,0.763833649,0.054049854,10,,
01.01.2018 10:00 - 01.01.2018 11:00,2018,1,1,11,2,1,46875,0.6,4037,,,34934,,,0.78277334,0.139415813,11,,
01.01.2018 11:00 - 01.01.2018 12:00,2018,1,1,12,2,1,49420,0.63,6000,,,35552,,,0.796626595,0.207219886,12,,
01.01.2018 12:00 - 01.01.2018 13:00,2018,1,1,13,2,1,51191,0.65,6409,,,34884,,,0.781641776,0.221354009,13,,
01.01.2018 13:00 - 01.01.2018 14:00,2018,1,1,14,2,1,50351,0.64,5685,,,32576,,,0.72994275,0.196340842,14,,
01.01.2018 14:00 - 01.01.2018 15:00,2018,1,1,15,2,1,49115,0.63,4028,,,28858,,,0.646627155,0.139122251,15,,
01.01.2018 15:00 - 01.01.2018 16:00,2018,1,1,16,2,1,48649,0.62,1548,,,26414,,,0.591858342,0.053445462,16,,
01.01.2018 16:00 - 01.01.2018 17:00,2018,1,1,17,2,1,50695,0.65,41,,,23529,,,0.527219154,0.001407368,17,,
