Demand_ftr,Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
103830.2576,0.688199568,0,0.720137841,0.816425424,1116.704506,3161.85682
103092.8109,0.683311682,0,0.752623361,0.842607411,1116.704506,3161.85682
102977.0897,0.682544668,0,0.780639301,0.876886241,1116.704506,3161.85682
103658.6643,0.687062227,0,0.79400601,0.929631453,1116.704506,3161.85682
110545.6463,0.732709981,0,0.810998285,0.936700012,1116.704506,3161.85682
123712.2953,0.819980131,0,0.823165743,0.936704072,1116.704506,3161.85682
134296.0874,0.890130792,0,0.835775627,0.936994581,1116.704506,3161.85682
139014.5175,0.92140512,0,0.839754111,0.937268136,1116.704506,3161.85682
140208.3926,0.929318269,0.004641622,0.832547587,0.937075544,1116.704506,3161.85682
139561.4543,0.925030283,0.131864073,0.821688645,0.936889592,1116.704506,3161.85682
139085.7402,0.921877193,0.264220503,0.65688447,0.93550838,1116.704506,3161.85682
138903.1633,0.920667051,0.347946761,0.654396311,0.927463177,1116.704506,3161.85682
138879.5246,0.920510371,0.380767304,0.673500976,0.920540743,1116.704506,3161.85682
138789.5525,0.919914025,0.338029116,0.649237363,0.90450047,1116.704506,3161.85682
139166.268,0.922410941,0.264591362,0.569006091,0.862050467,1116.704506,3161.85682
139852.4741,0.926959198,0.109289976,0.489502662,0.801317147,1116.704506,3161.85682
140702.271,0.932591755,0.001425999,0.438029607,0.742635337,1116.704506,3161.85682
141055.1389,0.934930607,0,0.418552286,0.718793503,1116.704506,3161.85682
140827.5689,0.933422245,0,0.411648329,0.722058037,1116.704506,3161.85682
135745.2665,0.899736127,0,0.420919725,0.710283249,1116.704506,3161.85682
125825.6298,0.833987569,0,0.437670634,0.666427006,1116.704506,3161.85682
118729.6322,0.786954434,0,0.4508507,0.632026086,1116.704506,3161.85682
112396.9557,0.744980685,0,0.43929954,0.670909133,1116.704506,3161.85682
108197.8119,0.717148249,0,0.452664215,0.638046296,1116.704506,3161.85682
106897.1515,0.708527314,0,0.462976792,0.589299849,1116.704506,3161.85682
106167.3314,0.703689978,0,0.467520027,0.539721256,1116.704506,3161.85682
106024.5935,0.702743894,0,0.471743479,0.557249945,1116.704506,3161.85682
106341.8151,0.704846477,0,0.483894106,0.59033114,1116.704506,3161.85682
112515.6091,0.745767134,0,0.493986681,0.612420241,1116.704506,3161.85682
127058.912,0.842161913,0,0.491392458,0.623336764,1116.704506,3161.85682
137194.0555,0.909338876,0,0.483241623,0.637641218,1116.704506,3161.85682
140747.0133,0.932888313,0,0.469058244,0.6337013,1116.704506,3161.85682
141855.7081,0.940236877,0.004092189,0.448738559,0.600961061,1116.704506,3161.85682
141605.7809,0.938580329,0.091075205,0.444568999,0.591754594,1116.704506,3161.85682
140903.3884,0.933924786,0.176729361,0.384576201,0.619358033,1116.704506,3161.85682
140525.8093,0.931422146,0.22105026,0.435874038,0.62670931,1116.704506,3161.85682
139977.2148,0.927785995,0.213904177,0.458820125,0.630614023,1116.704506,3161.85682
139859.9962,0.927009055,0.184268898,0.423875376,0.664952688,1116.704506,3161.85682
139791.6291,0.92655591,0.145820462,0.409302541,0.711307158,1116.704506,3161.85682
140001.2018,0.927944983,0.088277272,0.388757533,0.747553165,1116.704506,3161.85682
141180.9243,0.935764327,0.001811267,0.388192891,0.779450678,1116.704506,3161.85682
141114.0616,0.935321153,0,0.409436508,0.811863603,1116.704506,3161.85682
140353.9443,0.930283004,0,0.445855493,0.835322016,1116.704506,3161.85682
134834.5688,0.893699912,0,0.47255499,0.854334372,1116.704506,3161.85682
125416.5973,0.831276452,0,0.483402401,0.852358111,1116.704506,3161.85682
118286.4719,0.784017114,0,0.509290456,0.861820685,1116.704506,3161.85682
111798.6461,0.741015016,0,0.541973383,0.864999542,1116.704506,3161.85682
106673.7396,0.707046513,0,0.596837618,0.878958102,1116.704506,3161.85682
105141.7692,0.696892427,0,0.648197085,0.892805113,1116.704506,3161.85682
104158.038,0.690372137,0,0.709670695,0.894659955,1116.704506,3161.85682
103898.2625,0.688650313,0,0.759157318,0.919770142,1116.704506,3161.85682
103985.5601,0.689228932,0,0.806839746,0.933093839,1116.704506,3161.85682
110543.9539,0.732698764,0,0.846074641,0.936328386,1116.704506,3161.85682
123685.8149,0.819804616,0,0.872792729,0.903110126,1116.704506,3161.85682
134409.4475,0.890882156,0,0.887306953,0.88183456,1116.704506,3161.85682
139226.7787,0.922812013,0,0.888107037,0.90781944,1116.704506,3161.85682
140389.7715,0.930520471,0.00196471,0.873566662,0.867697292,1116.704506,3161.85682
139790.863,0.926550832,0.042412081,0.863337293,0.685014361,1116.704506,3161.85682
139463.5144,0.924381126,0.103783418,0.806411063,0.642036685,1116.704506,3161.85682
139026.2324,0.921482768,0.1779148,0.830182589,0.661917045,1116.704506,3161.85682
138914.6693,0.920743314,0.186748016,0.848304621,0.660479456,1116.704506,3161.85682
138902.4668,0.920662434,0.187948675,0.857780408,0.746347698,1116.704506,3161.85682
138858.6857,0.920372248,0.14999372,0.8696525,0.759889503,1116.704506,3161.85682
138980.8912,0.921182241,0.078937922,0.878579112,0.798533286,1116.704506,3161.85682
