
Gurobi 9.5.0 (linux64) logging started Mon Feb  7 12:08:49 2022

Set parameter LogFile to value "/scratch/work/condeil1/EnergySystemModeling.jl/examples/structures/8nodes/instances/.big_files/08n8760h_ftr/output_tri_nosto/gurobi.log"
Set parameter NumericFocus to value 1
Set parameter ScaleFlag to value 2

Gurobi 9.5.0 (linux64) logging started Mon Feb  7 12:08:55 2022

Set parameter LogFile to value "/scratch/work/condeil1/EnergySystemModeling.jl/examples/structures/8nodes/instances/.big_files/08n8760h_ftr/output_tri_nosto/gurobi.log"
Gurobi Optimizer version 9.5.0 build v9.5.0rc5 (linux64)
Thread count: 40 physical cores, 40 logical processors, using up to 32 threads
Optimize a model with 2908186 rows, 1103847 columns and 8709664 nonzeros
Model fingerprint: 0x87bf9e1e
Coefficient statistics:
  Matrix range     [3e-04, 1e+00]
  Objective range  [1e-05, 4e-01]
  Bounds range     [1e+03, 8e+06]
  RHS range        [6e-03, 2e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 953377 rows and 311966 columns (presolve time = 6s) ...
Presolve removed 953377 rows and 311966 columns (presolve time = 13s) ...
Presolve removed 987672 rows and 311966 columns (presolve time = 15s) ...
Presolve removed 987672 rows and 311966 columns
Presolve time: 24.50s
Presolved: 1920514 rows, 791881 columns, 6546809 nonzeros

Ordering time: 2.72s

Barrier statistics:
 Dense cols : 80
 AA' NZ     : 1.259e+07
 Factor NZ  : 6.306e+07 (roughly 1.6 GB of memory)
 Factor Ops : 1.538e+10 (less than 1 second per iteration)
 Threads    : 30

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   4.31002512e+08 -1.44655268e+07  1.01e+12 9.10e-03  6.51e+06    57s
   1   3.57441336e+08 -1.44837271e+08  7.39e+11 2.37e-01  2.92e+06    85s
   2   3.44903764e+08 -1.47403561e+08  7.09e+11 2.37e-01  2.84e+06   122s
   3   2.83339761e+08 -2.51484780e+09  6.19e+11 1.22e-01  5.19e+06   167s
   4   2.41833967e+08 -2.48675874e+09  5.23e+11 9.38e-02  4.30e+06   200s
   5   2.81076098e+07 -2.74531205e+09  1.84e+10 4.41e-10  4.09e+05   243s
   6   5.16282799e+06 -1.94875228e+09  2.25e+09 1.57e-08  7.04e+04   283s
   7   3.37993745e+06 -3.11536356e+08  4.81e+08 2.32e-08  8.33e+03   314s
   8   3.11455432e+06 -3.65217966e+07  6.22e+07 2.26e-09  9.68e+02   342s
   9   2.73234502e+06 -1.30769666e+07  5.06e+07 2.74e-05  3.84e+02   367s
  10   2.05746910e+06 -4.95317140e+06  6.98e+06 1.93e-04  1.67e+02   391s
  11   1.42776696e+06 -2.22228688e+06  2.99e+06 1.38e-04  8.67e+01   417s
  12   1.10153101e+06 -8.40912819e+05  1.59e+06 6.76e-05  4.61e+01   441s
  13   8.45504950e+05 -3.61927090e+05  7.96e+05 2.47e-05  2.86e+01   467s
  14   6.23996312e+05 -1.96642031e+05  2.10e+05 1.87e-11  1.94e+01   493s
  15   4.28912717e+05 -8.60945450e+04  4.28e+01 1.05e-11  1.22e+01   525s
  16   3.57194122e+05 -2.26581371e+04  3.12e+01 7.66e-12  8.96e+00   550s
  17   2.80376231e+05  3.22622881e+04  1.91e+01 5.17e-12  5.87e+00   584s
  18   2.52311478e+05  6.52072603e+04  1.50e+01 1.77e-05  4.44e+00   624s
  19   2.32271547e+05  8.76306869e+04  1.20e+01 4.57e-05  3.46e+00   656s
  20   2.11362882e+05  1.03802698e+05  9.08e+00 7.28e-05  2.60e+00   695s
  21   1.96607846e+05  1.13256539e+05  6.95e+00 9.29e-05  2.04e+00   738s
  22   1.88500646e+05  1.21199459e+05  5.75e+00 1.07e-04  1.67e+00   778s
  23   1.82176502e+05  1.27458184e+05  4.79e+00 1.17e-04  1.38e+00   818s
  24   1.79609128e+05  1.29682806e+05  4.42e+00 1.20e-04  1.27e+00   861s
  25   1.78817090e+05  1.30193284e+05  4.30e+00 1.20e-04  1.24e+00   901s
  26   1.77348931e+05  1.30870318e+05  4.06e+00 1.21e-04  1.19e+00   941s
  27   1.76377297e+05  1.32158926e+05  3.90e+00 1.22e-04  1.14e+00   984s
  28   1.75364325e+05  1.33066796e+05  3.73e+00 1.22e-04  1.09e+00  1024s
  29   1.74054148e+05  1.33681403e+05  3.52e+00 1.23e-04  1.05e+00  1064s
  30   1.73279415e+05  1.34945950e+05  3.39e+00 1.23e-04  1.00e+00  1105s
  31   1.71977627e+05  1.36295725e+05  3.16e+00 1.23e-04  9.38e-01  1145s
  32   1.71063073e+05  1.37761031e+05  2.99e+00 1.23e-04  8.82e-01  1188s
  33   1.70121701e+05  1.38550910e+05  2.83e+00 1.23e-04  8.41e-01  1228s
  34   1.69293867e+05  1.39500274e+05  2.68e+00 1.23e-04  7.99e-01  1267s
  35   1.68228921e+05  1.40550756e+05  2.48e+00 1.23e-04  7.49e-01  1308s
  36   1.67628657e+05  1.41683634e+05  2.36e+00 1.22e-04  7.08e-01  1349s
  37   1.66616887e+05  1.42592903e+05  2.16e+00 1.22e-04  6.63e-01  1388s
  38   1.65838391e+05  1.43480831e+05  2.01e+00 1.21e-04  6.23e-01  1429s
  39   1.65262883e+05  1.44113234e+05  1.91e+00 1.21e-04  5.95e-01  1471s
  40   1.65061559e+05  1.44690767e+05  1.87e+00 1.21e-04  5.76e-01  1511s
  41   1.64351857e+05  1.45266376e+05  1.74e+00 1.20e-04  5.46e-01  1551s
  42   1.64056397e+05  1.45909195e+05  1.69e+00 1.20e-04  5.23e-01  1590s
  43   1.63678501e+05  1.47135279e+05  1.61e+00 1.18e-04  4.84e-01  1633s
  44   1.63383803e+05  1.47533639e+05  1.55e+00 1.18e-04  4.68e-01  1665s
  45   1.62928274e+05  1.47977990e+05  1.47e+00 1.17e-04  4.46e-01  1704s
  46   1.62561565e+05  1.48431232e+05  1.39e+00 1.17e-04  4.27e-01  1745s
  47   1.61832759e+05  1.49056748e+05  1.25e+00 1.16e-04  3.94e-01  1787s
  48   1.61418002e+05  1.49764432e+05  1.18e+00 1.14e-04  3.67e-01  1827s
  49   1.61001004e+05  1.50966955e+05  1.10e+00 1.12e-04  3.27e-01  1867s
  50   1.60484901e+05  1.51859211e+05  1.01e+00 1.09e-04  2.92e-01  1909s
  51   1.60089527e+05  1.52066475e+05  9.28e-01 1.08e-04  2.77e-01  1943s
  52   1.59801967e+05  1.52496421e+05  8.76e-01 1.07e-04  2.59e-01  1982s
  53   1.59290858e+05  1.52717040e+05  7.79e-01 1.06e-04  2.42e-01  2022s
  54   1.58980690e+05  1.53300568e+05  7.25e-01 1.04e-04  2.19e-01  2058s
  55   1.58539348e+05  1.53947536e+05  6.48e-01 1.01e-04  1.91e-01  2098s
  56   1.58027508e+05  1.54773923e+05  5.54e-01 9.81e-05  1.57e-01  2138s
  57   1.57769382e+05  1.55035345e+05  5.10e-01 9.65e-05  1.44e-01  2181s
  58   1.57510631e+05  1.55272355e+05  4.67e-01 9.53e-05  1.31e-01  2221s
  59   1.57332101e+05  1.55676243e+05  4.35e-01 9.28e-05  1.16e-01  2261s
  60   1.57128621e+05  1.55754802e+05  4.01e-01 9.22e-05  1.09e-01  2294s
  61   1.56918522e+05  1.55847166e+05  3.65e-01 9.18e-05  1.02e-01  2336s
  62   1.56867172e+05  1.55947952e+05  3.57e-01 9.10e-05  9.74e-02  2376s
  63   1.56522732e+05  1.56096397e+05  2.99e-01 8.96e-05  8.50e-02  2415s
