node,gen_tech,gcap_min,gcap_max(GW)
1,1,0,24976.70674918749
1,2,0,0.0
1,3,0,122116.32032824373
1,4,0,1.0e9
1,5,0,1.0e9
1,6,0,1.0e9
1,7,0,1.0e9
1,8,0,1.0e9
2,1,0,5277.941609359994
2,2,0,10264.075474721276
2,3,0,65426.77033210231
2,4,0,1.0e9
2,5,0,1.0e9
2,6,0,1.0e9
2,7,0,1.0e9
2,8,0,1.0e9
3,1,0,28585.604586173416
3,2,0,5570.064295769699
3,3,0,244022.83237876475
3,4,0,1.0e9
3,5,0,1.0e9
3,6,0,1.0e9
3,7,0,1.0e9
3,8,0,1.0e9
4,1,0,12838.922740829816
4,2,0,10834.267978842563
4,3,0,93141.7717284906
4,4,0,1.0e9
4,5,0,1.0e9
4,6,0,1.0e9
4,7,0,1.0e9
4,8,0,1.0e9
5,1,0,1113.8673838589907
5,2,0,0.0
5,3,0,11461.723514813266
5,4,0,1.0e9
5,5,0,1.0e9
5,6,0,1.0e9
5,7,0,1.0e9
5,8,0,1.0e9
6,1,0,12756.862789273926
6,2,0,97301.18152042116
6,3,0,111811.384391086
6,4,0,1.0e9
6,5,0,1.0e9
6,6,0,1.0e9
6,7,0,1.0e9
6,8,0,1.0e9
7,1,0,15432.151261860088
7,2,0,29375.464153600584
7,3,0,60135.65042465436
7,4,0,1.0e9
7,5,0,1.0e9
7,6,0,1.0e9
7,7,0,1.0e9
7,8,0,1.0e9
8,1,0,121399.00036220012
8,2,0,48821.70069796738
8,3,0,84712.72716754377
8,4,0,1.0e9
8,5,0,1.0e9
8,6,0,1.0e9
8,7,0,1.0e9
8,8,0,1.0e9
9,1,0,164307.64088776207
9,2,0,45080.71762874367
9,3,0,1.4388756841041904e6
9,4,0,1.0e9
9,5,0,1.0e9
9,6,0,1.0e9
9,7,0,1.0e9
9,8,0,1.0e9
10,1,0,90004.65831638651
10,2,0,38196.723340667624
10,3,0,763137.8890218686
10,4,0,1.0e9
10,5,0,1.0e9
10,6,0,1.0e9
10,7,0,1.0e9
10,8,0,1.0e9
11,1,0,25476.4643094145
11,2,0,0.0
11,3,0,259371.57014355835
11,4,0,1.0e9
11,5,0,1.0e9
11,6,0,1.0e9
11,7,0,1.0e9
11,8,0,1.0e9
12,1,0,22427.22286677978
12,2,0,14750.699655676008
12,3,0,204063.0364303691
12,4,0,1.0e9
12,5,0,1.0e9
12,6,0,1.0e9
12,7,0,1.0e9
12,8,0,1.0e9
13,1,0,63435.48202472345
13,2,0,43149.07440962861
13,3,0,561529.8852034536
13,4,0,1.0e9
13,5,0,1.0e9
13,6,0,1.0e9
13,7,0,1.0e9
13,8,0,1.0e9
14,1,0,23531.39244092458
14,2,0,15881.717729309315
14,3,0,121240.38020157893
14,4,0,1.0e9
14,5,0,1.0e9
14,6,0,1.0e9
14,7,0,1.0e9
14,8,0,1.0e9
15,1,0,21820.016303647182
15,2,0,2291.783367302093
15,3,0,177249.6241120007
15,4,0,1.0e9
15,5,0,1.0e9
15,6,0,1.0e9
15,7,0,1.0e9
15,8,0,1.0e9
16,1,0,221.9556170684909
16,2,0,0.0
16,3,0,2978.581918493168
16,4,0,1.0e9
16,5,0,1.0e9
16,6,0,1.0e9
16,7,0,1.0e9
16,8,0,1.0e9
17,1,0,5.598140139016515
17,2,0,133.64649622960923
17,3,0,506.1338505020527
17,4,0,1.0e9
17,5,0,1.0e9
17,6,0,1.0e9
17,7,0,1.0e9
17,8,0,1.0e9
18,1,0,6294.73640846968
18,2,0,80241.751727271
18,3,0,86526.1513594478
18,4,0,1.0e9
18,5,0,1.0e9
18,6,0,1.0e9
18,7,0,1.0e9
18,8,0,1.0e9
19,1,0,97809.08431040579
19,2,0,14971.782376528594
19,3,0,795795.2711825573
19,4,0,1.0e9
19,5,0,1.0e9
19,6,0,1.0e9
19,7,0,1.0e9
19,8,0,1.0e9
20,1,0,24220.020773080327
20,2,0,1704.535014405554
20,3,0,130750.5668901532
20,4,0,1.0e9
20,5,0,1.0e9
20,6,0,1.0e9
20,7,0,1.0e9
20,8,0,1.0e9
21,1,0,66746.53483705214
21,2,0,3711.579863420791
21,3,0,574165.1941480045
21,4,0,1.0e9
21,5,0,1.0e9
21,6,0,1.0e9
21,7,0,1.0e9
21,8,0,1.0e9
22,1,0,11506.047114321265
22,2,0,0.0
22,3,0,85434.28108248458
22,4,0,1.0e9
22,5,0,1.0e9
22,6,0,1.0e9
22,7,0,1.0e9
22,8,0,1.0e9
23,1,0,4182.075931873516
23,2,0,219.25622562277186
23,3,0,18450.449284580915
23,4,0,1.0e9
23,5,0,1.0e9
23,6,0,1.0e9
23,7,0,1.0e9
23,8,0,1.0e9
24,1,0,130742.44830414634
24,2,0,17111.35179811657
24,3,0,1.0916167316152418e6
24,4,0,1.0e9
24,5,0,1.0e9
24,6,0,1.0e9
24,7,0,1.0e9
24,8,0,1.0e9
25,1,0,191799.90672809127
25,2,0,74202.21595970538
25,3,0,344968.727606271
25,4,0,1.0e9
25,5,0,1.0e9
25,6,0,1.0e9
25,7,0,1.0e9
25,8,0,1.0e9
