L_ind,line,dist,cost,converter_cost,M,C,B,efficiency,lifetime,tcap_min,tcap_max
1,[10, 1],675.8099886941129,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
2,[11, 1],493.458621736468,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
3,[13, 1],614.565728819402,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
4,[22, 1],479.93018233547866,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
5,[23, 1],176.52557501417166,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
6,[9, 2],434.9740424880111,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
7,[10, 2],582.3956727567308,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
8,[16, 2],229.55415123722196,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
9,[18, 2],158.74898771018562,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
10,[21, 3],294.12164436265624,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
11,[11, 4],398.2101909387675,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
12,[23, 4],173.5436911650804,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
13,[10, 6],553.5045452124784,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
14,[14, 7],253.74908472989864,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
15,[25, 8],1072.9204113396254,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
16,[10, 9],869.952364563017,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
17,[13, 9],1138.6401482164028,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
18,[16, 9],451.32412287834796,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
19,[24, 9],1046.4741530394303,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
20,[16, 10],425.108374661573,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
21,[18, 10],509.7899855287691,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
22,[19, 10],1074.7084731264636,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
23,[21, 11],686.8770027825565,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
24,[22, 11],142.25578602842242,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
25,[23, 11],496.76527123848615,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
26,[23, 13],478.12023102858734,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
27,[15, 14],178.14605258867732,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
28,[19, 15],627.1098865674707,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
29,[22, 19],323.82282849283627,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
30,[24, 20],662.5357791758905,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
